,Year,Age Group,Value
0,1973,15-17,105820.0
1,1973,18-19,128810.0
2,1973,20-24,240760.0
3,1973,25-29,128190.0
4,1973,30-34,70470.0
5,1973,35-39,41410.0
6,1973,<15,11730.0
7,1973,>40,17400.0
8,1974,15-17,123890.0
9,1974,18-19,157040.0
10,1974,20-24,286790.0
11,1974,25-29,160990.0
12,1974,30-34,87300.0
13,1974,35-39,49320.0
14,1974,<15,13530.0
15,1974,>40,19700.0
16,1975,15-17,141040.0
17,1975,18-19,186950.0
18,1975,20-24,331850.0
19,1975,25-29,186950.0
20,1975,30-34,97280.0
21,1975,35-39,53370.0
22,1975,<15,15390.0
23,1975,>40,21340.0
24,1976,15-17,154170.0
25,1976,18-19,211990.0
26,1976,20-24,392520.0
27,1976,25-29,218270.0
28,1976,30-34,106750.0
29,1976,35-39,57440.0
30,1976,<15,15970.0
31,1976,>40,22180.0
32,1977,15-17,167230.0
33,1977,18-19,233280.0
34,1977,20-24,449930.0
35,1977,25-29,244200.0
36,1977,30-34,120700.0
37,1977,35-39,62500.0
38,1977,<15,15820.0
39,1977,>40,23030.0
40,1978,15-17,170950.0
41,1978,18-19,252000.0
42,1978,20-24,489700.0
43,1978,25-29,263330.0
44,1978,30-34,130340.0
45,1978,35-39,66210.0
46,1978,<15,15290.0
47,1978,>40,21780.0
48,1979,15-17,180350.0
49,1979,18-19,268670.0
50,1979,20-24,526020.0
51,1979,25-29,281370.0
52,1979,30-34,137780.0
53,1979,35-39,65980.0
54,1979,<15,16410.0
55,1979,>40,21070.0
56,1980,15-17,185240.0
57,1980,18-19,264130.0
58,1980,20-24,549730.0
59,1980,25-29,300890.0
60,1980,30-34,148720.0
61,1980,35-39,67530.0
62,1980,<15,15540.0
63,1980,>40,22120.0
64,1981,15-17,177820.0
65,1981,18-19,260170.0
66,1981,20-24,555270.0
67,1981,25-29,313280.0
68,1981,30-34,162830.0
69,1981,35-39,70470.0
70,1981,<15,15440.0
71,1981,>40,22060.0
72,1982,15-17,170280.0
73,1982,18-19,253110.0
74,1982,20-24,552010.0
75,1982,25-29,323410.0
76,1982,30-34,163620.0
77,1982,35-39,74210.0
78,1982,<15,14790.0
79,1982,>40,22490.0
80,1983,15-17,168320.0
81,1983,18-19,247660.0
82,1983,20-24,548460.0
83,1983,25-29,325310.0
84,1983,30-34,167160.0
85,1983,35-39,79050.0
86,1983,<15,16550.0
87,1983,>40,22500.0
88,1984,15-17,162780.0
89,1984,18-19,240750.0
90,1984,20-24,551440.0
91,1984,25-29,329300.0
92,1984,30-34,171370.0
93,1984,35-39,82800.0
94,1984,<15,17120.0
95,1984,>40,21620.0
96,1985,15-17,167580.0
97,1985,18-19,236310.0
98,1985,20-24,548350.0
99,1985,25-29,333280.0
100,1985,30-34,176120.0
101,1985,35-39,87510.0
102,1985,<15,17170.0
103,1985,>40,22230.0
104,1986,15-17,167210.0
105,1986,18-19,226670.0
106,1986,20-24,531710.0
107,1986,25-29,336480.0
108,1986,30-34,181430.0
109,1986,35-39,92690.0
110,1986,<15,15890.0
111,1986,>40,21910.0
112,1987,15-17,163060.0
113,1987,18-19,223180.0
114,1987,20-24,518610.0
115,1987,25-29,334510.0
116,1987,30-34,187180.0
117,1987,35-39,93980.0
118,1987,<15,14470.0
119,1987,>40,24110.0
120,1988,15-17,6029.423076923077
121,1988,18-19,8981.346153846154
122,1988,20-24,19868.26923076923
123,1988,25-29,13216.923076923076
124,1988,30-34,7447.692307692308
125,1988,35-39,3690.576923076923
126,1988,<15,508.2692307692308
127,1988,>40,981.9230769230769
128,1989,15-17,140860.0
129,1989,18-19,234650.0
130,1989,20-24,509740.0
131,1989,25-29,342530.0
132,1989,30-34,198430.0
133,1989,35-39,100370.0
134,1989,<15,12960.0
135,1989,>40,27330.0
136,1990,15-17,131580.0
137,1990,18-19,224130.0
138,1990,20-24,532820.0
139,1990,25-29,356870.0
140,1990,30-34,211920.0
141,1990,35-39,108710.0
142,1990,<15,12790.0
143,1990,>40,29820.0
144,1991,15-17,119780.0
145,1991,18-19,199170.0
146,1991,20-24,533600.0
147,1991,25-29,344890.0
148,1991,30-34,208200.0
149,1991,35-39,108440.0
150,1991,<15,12470.0
151,1991,>40,29990.0
152,1992,15-17,4429.807692307692
153,1992,18-19,6980.0
154,1992,20-24,20164.23076923077
155,1992,25-29,12904.038461538461
156,1992,30-34,8012.307692307692
157,1992,35-39,4257.5
158,1992,<15,482.88461538461536
159,1992,>40,1206.7307692307693
160,1993,15-17,114690.0
161,1993,18-19,177430.0
162,1993,20-24,512640.0
163,1993,25-29,327940.0
164,1993,30-34,205770.0
165,1993,35-39,111820.0
166,1993,<15,12600.0
167,1993,>40,32100.0
168,1994,15-17,111960.0
169,1994,18-19,167080.0
170,1994,20-24,475750.0
171,1994,25-29,311870.0
172,1994,30-34,199820.0
173,1994,35-39,111080.0
174,1994,<15,12260.0
175,1994,>40,33190.0
176,1995,15-17,107590.0
177,1995,18-19,159350.0
178,1995,20-24,441060.0
179,1995,25-29,304940.0
180,1995,30-34,191800.0
181,1995,35-39,110320.0
182,1995,<15,11010.0
183,1995,>40,33370.0
184,1996,15-17,4060.576923076923
185,1996,18-19,6159.423076923077
186,1996,20-24,16500.0
187,1996,25-29,12013.461538461539
188,1996,30-34,7293.2692307692305
189,1996,35-39,4293.461538461538
190,1996,<15,401.34615384615387
191,1996,>40,1318.076923076923
192,1997,15-17,99980.0
193,1997,18-19,159600.0
194,1997,20-24,422440.0
195,1997,25-29,312280.0
196,1997,30-34,185840.0
197,1997,35-39,110230.0
198,1997,<15,9810.0
199,1997,>40,34820.0
200,1998,15-17,96290.0
201,1998,18-19,156280.0
202,1998,20-24,418300.0
203,1998,25-29,309060.0
204,1998,30-34,183330.0
205,1998,35-39,110160.0
206,1998,<15,9530.0
207,1998,>40,36040.0
208,1999,15-17,89840.0
